Year;Number;Children 0;Children 5;Children 10;Children 15;Adult 20;Adult 25;Adult 30;Adult 35;Adult 40;Adult 45;Adult 50;Adult 55;Adult 60;Adult 65;Adult 70;Adult 75;Adult 80;Adult 85
1960;24675;144;116;99;137;127;169;286;413;661;1087;1785;2627;3452;3938;3739;3119;1919;857
1961;26155;157;81;115;154;154;187;277;369;648;1042;1907;2810;3766;4190;3981;3228;2065;1024
1962;26875;125;81;82;155;139;205;246;409;684;1120;1940;2756;3695;4314;4134;3554;2223;1013
1963;27853;151;83;79;145;135;175;255;410;662;1070;1915;2937;3874;4480;4302;3715;2296;1169
1964;29293;158;108;87;157;145;195;266;394;710;1090;2045;2994;4018;4667;4693;3966;2410;1190
1965;30167;151;83;73;134;181;190;235;402;718;1184;2042;3061;4109;4906;4834;4035;2489;1340
1966;30634;174;96;65;147;166;197;249;423;695;1135;1988;3110;4093;4975;4973;4144;2634;1370
1967;32070;201;93;96;142;210;216;269;399;685;1142;1985;3291;4579;5181;5196;4180;2729;1476
1968;33520;189;90;97;136;211;206;280;429;682;1226;1877;3437;4597;5472;5654;4454;2943;1540
1969;34318;155;114;97;140;205;234;284;414;715;1302;1918;3371;4751;5555;5717;4640;3002;1704
1970;34970;198;103;77;139;230;275;275;447;713;1251;1997;3243;4843;5770;5952;4736;3041;1680
1971;35979;182;101;89;149;217;290;312;396;651;1280;2108;3218;4888;5973;6068;4938;3267;1852
1972;37316;171;110;77;157;203;338;328;406;701;1253;2073;3330;5166;6176;6390;5262;3262;1913
1973;38019;161;99;78;155;200;320;335;464;652;1249;2222;3308;5181;6315;6560;5462;3281;1977
1974;38983;147;93;98;131;204;324;328;429;704;1204;2290;3255;5175;6313;6870;5749;3609;2060
1975;40236;166;95;101;150;200;322;340;411;660;1213;2246;3512;5220;6758;7032;5952;3692;2166
1976;41379;177;86;103;148;239;363;354;549;644;1230;2270;3530;5293;6955;7385;6112;3809;2132
1977;42068;167;78;87;157;247;341;443;489;669;1211;2217;3623;5170;7117;7505;6238;4051;2258
1978;41800;148;104;97;131;222;302;435;486;688;1164;2155;3644;5091;7048;7506;6367;3993;2219
1979;42346;160;94;118;166;179;290;487;536;670;1088;2055;3650;5109;6910;7682;6598;4209;2345
1980;43727;178;101;92;157;251;318;458;530;698;1137;2094;3743;5238;7174;8138;6783;4225;2412
1981;43752;133;85;109;160;217;305;428;600;682;1124;2101;3622;5341;7087;8211;6839;4290;2418
